ex:h	c:Light	c:CO2	c:Temperature	c:DaylightHours	c:T_b	c:Thermaltime
670.0	0	391	21.1	12	3	0.75417
671.0	0	393	21.0	12	3	0.75
672.0	50	390	21.5	12	3	0.77083
673.0	90	380	22.0	12	3	0.79167
674.0	98	375	21.8	12	3	0.78333
675.0	103	372	21.7	12	3	0.77917
676.0	100	370	21.6	12	3	0.775
677.0	98	372	21.5	12	3	0.77083
678.0	102	370	21.2	12	3	0.75833
679.0	97	373	21.8	12	3	0.78333
680.0	103	372	21.6	12	3	0.775
681.0	96	372	21.5	12	3	0.77083
682.0	100	380	21.0	12	3	0.75
683.0	50	390	21.4	12	3	0.76667
684.0	0	392	20.5	12	3	0.72917
685.0	0	391	20.9	12	3	0.74583
686.0	0	390	21.0	12	3	0.75
687.0	0	390	21.1	12	3	0.75417
688.0	0	390	21.0	12	3	0.75
689.0	0	390	20.8	12	3	0.74167
690.0	0	390	21.1	12	3	0.75417
691.0	0	392	21.3	12	3	0.7625
692.0	0	390	21.2	12	3	0.75833
693.0	0	392	21.1	12	3	0.75417
694.0	0	391	21.1	12	3	0.75417
695.0	0	393	21.0	12	3	0.75
696.0	50	390	21.5	12	3	0.77083
697.0	90	380	22.0	12	3	0.79167
698.0	98	375	21.8	12	3	0.78333
699.0	103	372	21.7	12	3	0.77917
700.0	100	370	21.6	12	3	0.775
701.0	98	372	21.5	12	3	0.77083
702.0	102	370	21.2	12	3	0.75833
703.0	97	373	21.8	12	3	0.78333
704.0	103	372	21.6	12	3	0.775
705.0	96	372	21.5	12	3	0.77083
706.0	100	380	21.0	12	3	0.75
707.0	50	390	21.4	12	3	0.76667
708.0	0	392	20.5	12	3	0.72917
709.0	0	391	20.9	12	3	0.74583
710.0	0	390	21.0	12	3	0.75
711.0	0	390	21.1	12	3	0.75417
712.0	0	390	21.0	12	3	0.75
713.0	0	390	20.8	12	3	0.74167
714.0	0	390	21.1	12	3	0.75417
715.0	0	392	21.3	12	3	0.7625
716.0	0	390	21.2	12	3	0.75833
717.0	0	392	21.1	12	3	0.75417
718.0	0	391	21.1	12	3	0.75417
719.0	0	393	21.0	12	3	0.75
720.0	50	390	21.5	12	3	0.77083
